S0, S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12, S13, S14
8403, 1304, 82, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8393, 1317, 79, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8408, 1290, 92, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8455, 1247, 88, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8424, 1277, 90, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8413, 1291, 85, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8446, 1254, 90, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8411, 1293, 86, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8403, 1297, 91, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8440, 1258, 90, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8424, 1287, 78, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8440, 1268, 83, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8418, 1297, 75, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8415, 1275, 99, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8401, 1315, 74, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8410, 1295, 85, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8399, 1303, 88, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8403, 1296, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8426, 1261, 104, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8408, 1311, 71, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8389, 1327, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8409, 1304, 77, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8412, 1288, 90, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8403, 1304, 84, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8405, 1305, 79, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8442, 1260, 87, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8428, 1265, 95, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8420, 1259, 109, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8470, 1218, 102, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8479, 1199, 112, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8479, 1208, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8444, 1240, 104, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8437, 1258, 94, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8459, 1234, 97, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8456, 1242, 91, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8443, 1237, 110, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8442, 1257, 90, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8452, 1238, 101, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8469, 1226, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8451, 1243, 96, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8462, 1226, 102, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8443, 1231, 115, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8461, 1206, 121, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8432, 1249, 105, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8453, 1233, 100, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8437, 1248, 103, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8440, 1264, 84, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8472, 1228, 91, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8463, 1221, 105, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8479, 1208, 100, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8471, 1221, 97, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8450, 1241, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8471, 1217, 102, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8478, 1207, 106, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8477, 1216, 92, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8458, 1220, 112, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8476, 1210, 104, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8456, 1242, 93, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8436, 1270, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8415, 1280, 94, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8430, 1279, 80, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8454, 1242, 93, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8450, 1237, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8445, 1240, 106, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8455, 1236, 97, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8468, 1213, 108, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8458, 1240, 88, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8462, 1223, 104, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8460, 1240, 88, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8453, 1239, 96, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8455, 1235, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8467, 1217, 105, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8478, 1208, 101, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8481, 1209, 98, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8448, 1230, 110, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8491, 1189, 108, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8456, 1227, 105, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8455, 1243, 91, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8454, 1254, 79, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8449, 1238, 102, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8478, 1197, 116, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8477, 1202, 110, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8446, 1238, 105, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8429, 1256, 105, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
