Conf,CNo.,ION,CION,SOL
3, 15, 1, 0, 2
3, 16, 2, 2, 3
3, 17, 1, 0, 4
3, 18, 4, 2, 7
3, 19, 1, 0, 3
3, 20, 1, 0, 0
3, 21, 1, 0, 5
3, 22, 4, 2, 7
3, 23, 3, 0, 9
3, 24, 11, 4, 13
3, 25, 1, 0, 2
3, 26, 2, 1, 8
3, 27, 4, 2, 6
3, 28, 3, 2, 3
3, 29, 1, 0, 2
3, 30, 2, 0, 3
3, 31, 1, 0, 2
3, 32, 3, 3, 5
3, 33, 1, 0, 6
3, 34, 6, 4, 16
3, 35, 1, 0, 1
3, 36, 1, 0, 0
3, 37, 1, 0, 4
3, 38, 2, 1, 2
3, 39, 1, 0, 3
3, 40, 1, 0, 2
3, 41, 2, 0, 6
3, 42, 1, 0, 3
3, 43, 1, 0, 0
3, 44, 1, 0, 3
3, 45, 1, 1, 0
3, 46, 2, 0, 5
3, 47, 1, 1, 2
3, 48, 4, 0, 6
3, 49, 1, 0, 1
3, 50, 2, 1, 5
3, 51, 1, 0, 6
3, 52, 1, 0, 1
3, 53, 1, 0, 5
3, 54, 1, 0, 2
3, 55, 1, 0, 5
3, 56, 3, 1, 8
3, 57, 1, 0, 2
3, 58, 5, 1, 6
3, 59, 1, 0, 3
3, 60, 2, 1, 5
3, 61, 1, 0, 3
3, 62, 4, 1, 8
3, 63, 2, 0, 3
3, 64, 1, 0, 2
3, 65, 2, 0, 7
3, 66, 2, 0, 6
3, 67, 1, 1, 3
3, 68, 2, 0, 9
3, 69, 2, 1, 6
3, 70, 5, 2, 12
3, 71, 2, 0, 2
3, 72, 1, 0, 6
3, 73, 1, 0, 0
3, 74, 4, 0, 11
3, 75, 2, 0, 7
3, 76, 1, 1, 4
3, 77, 1, 0, 2
3, 78, 1, 0, 4
3, 79, 1, 0, 1
3, 80, 1, 0, 4
3, 81, 1, 1, 3
3, 82, 1, 0, 6
3, 83, 1, 0, 1
3, 84, 3, 2, 7
3, 85, 1, 0, 1
3, 86, 1, 1, 3
3, 87, 1, 0, 5
3, 88, 2, 2, 7
3, 89, 1, 1, 3
3, 90, 2, 1, 6
3, 91, 1, 0, 2
3, 92, 1, 1, 3
3, 93, 2, 0, 3
3, 94, 3, 3, 5
3, 95, 1, 1, 3
3, 96, 1, 0, 3
3, 97, 1, 1, 2
3, 98, 1, 0, 1
3, 99, 1, 0, 2
3, 100, 1, 0, 1
3, 101, 1, 0, 0
3, 102, 1, 0, 4
3, 103, 1, 0, 4
3, 104, 1, 0, 3
3, 105, 1, 0, 3
3, 106, 1, 0, 3
3, 107, 1, 0, 6
3, 108, 1, 2, 2
3, 109, 3, 2, 9
3, 110, 1, 1, 1
3, 111, 1, 1, 2
3, 112, 1, 0, 4
3, 113, 1, 0, 2
3, 114, 1, 1, 2
3, 115, 2, 1, 3
3, 116, 1, 1, 4
3, 117, 1, 0, 2
3, 118, 2, 0, 4
3, 119, 1, 0, 2
3, 120, 2, 0, 4
3, 121, 2, 0, 8
3, 122, 1, 0, 1
3, 123, 2, 2, 1
3, 124, 1, 0, 2
3, 125, 1, 0, 6
3, 126, 1, 1, 6
3, 127, 1, 0, 3
3, 128, 1, 0, 4
3, 129, 1, 0, 1
