Conf,CNo.,ION,CION,SOL
0, 87, 1, 0, 10
0, 88, 1, 0, 10
0, 89, 1, 0, 11
0, 90, 1, 0, 9
0, 91, 2, 0, 17
0, 92, 1, 0, 5
0, 93, 1, 1, 9
0, 94, 1, 1, 8
0, 95, 1, 0, 8
0, 96, 1, 0, 9
0, 97, 1, 0, 6
0, 98, 1, 1, 8
0, 99, 1, 0, 12
0, 100, 1, 0, 11
0, 101, 1, 0, 9
0, 102, 1, 1, 6
0, 103, 1, 0, 8
0, 104, 1, 0, 9
0, 105, 1, 0, 10
0, 106, 1, 0, 10
0, 107, 1, 0, 7
0, 108, 1, 1, 9
0, 109, 1, 0, 10
0, 110, 1, 0, 8
0, 111, 1, 0, 10
0, 112, 1, 0, 11
0, 113, 1, 0, 10
0, 114, 1, 0, 7
1, 0, 1, 0, 10
1, 1, 2, 1, 15
1, 2, 3, 2, 21
1, 3, 1, 0, 12
1, 4, 1, 0, 9
1, 5, 1, 0, 10
1, 6, 1, 0, 10
1, 7, 1, 0, 10
1, 8, 1, 0, 9
1, 9, 1, 0, 11
1, 10, 1, 0, 10
1, 11, 2, 0, 14
1, 12, 1, 1, 9
1, 13, 1, 0, 11
1, 14, 2, 0, 18
1, 15, 2, 0, 18
1, 16, 1, 1, 6
1, 17, 1, 0, 10
1, 18, 2, 0, 15
1, 19, 2, 1, 11
1, 20, 1, 0, 10
1, 21, 1, 0, 11
1, 22, 1, 0, 8
1, 23, 1, 1, 10
1, 24, 1, 1, 9
1, 25, 2, 0, 15
1, 26, 1, 1, 8
1, 27, 2, 1, 14
1, 28, 1, 0, 9
1, 29, 1, 0, 10
1, 30, 1, 0, 10
1, 31, 1, 1, 7
1, 32, 2, 0, 14
1, 33, 4, 1, 28
1, 34, 1, 0, 9
1, 35, 2, 0, 18
1, 36, 1, 0, 7
1, 37, 1, 0, 9
1, 38, 1, 0, 11
1, 39, 1, 0, 11
1, 40, 1, 0, 10
1, 41, 1, 0, 9
1, 42, 1, 0, 8
1, 43, 2, 1, 15
1, 44, 1, 0, 11
1, 45, 1, 0, 11
1, 46, 1, 0, 11
1, 47, 1, 0, 10
1, 48, 2, 0, 17
1, 49, 4, 0, 22
1, 50, 1, 0, 9
1, 51, 3, 1, 25
1, 52, 1, 1, 10
1, 53, 1, 0, 11
1, 54, 1, 0, 10
1, 55, 1, 0, 11
1, 56, 1, 0, 11
1, 57, 2, 1, 14
1, 58, 1, 0, 9
1, 59, 3, 2, 19
1, 60, 1, 0, 9
1, 61, 1, 1, 8
1, 62, 1, 0, 9
1, 63, 1, 0, 9
1, 64, 1, 0, 9
1, 65, 1, 0, 8
1, 66, 1, 1, 9
1, 67, 1, 1, 8
1, 68, 2, 0, 16
1, 69, 1, 0, 9
1, 70, 3, 0, 22
1, 71, 2, 0, 13
1, 72, 1, 0, 9
1, 73, 1, 0, 10
1, 74, 2, 0, 17
1, 75, 1, 0, 8
1, 76, 1, 0, 11
1, 77, 1, 1, 10
1, 78, 1, 0, 10
1, 79, 1, 1, 8
1, 80, 1, 0, 7
1, 81, 1, 0, 10
1, 82, 1, 0, 10
1, 83, 2, 3, 9
1, 84, 1, 0, 10
1, 85, 2, 1, 13
1, 86, 1, 0, 9
1, 87, 1, 1, 7
1, 88, 1, 0, 11
1, 89, 1, 1, 10
1, 90, 1, 0, 11
1, 91, 1, 0, 11
1, 92, 1, 1, 8
1, 93, 1, 0, 10
1, 94, 1, 0, 11
1, 95, 1, 0, 7
1, 96, 1, 0, 10
1, 97, 1, 0, 9
1, 98, 1, 1, 7
1, 99, 2, 0, 15
1, 100, 1, 0, 10
1, 101, 1, 0, 10
1, 102, 1, 0, 7
1, 103, 1, 0, 11
1, 104, 1, 0, 6
1, 105, 1, 0, 7
1, 106, 1, 0, 8
1, 107, 1, 0, 8
1, 108, 1, 0, 6
1, 109, 1, 0, 9
1, 110, 1, 0, 7
1, 111, 1, 0, 9
1, 112, 1, 0, 10
1, 113, 1, 2, 6
1, 114, 1, 0, 11
1, 115, 1, 0, 7
1, 116, 1, 0, 9
1, 117, 1, 0, 11
1, 118, 1, 0, 10
1, 119, 1, 0, 7
1, 120, 1, 0, 12
1, 121, 1, 0, 9
1, 122, 1, 0, 8
2, 0, 1, 0, 6
2, 1, 6, 1, 40
2, 2, 1, 1, 8
2, 3, 1, 0, 8
2, 4, 1, 0, 8
2, 5, 1, 0, 11
2, 6, 1, 0, 9
